市（州）,县（市、区）,机构名称,机构地址,联系电话,更新时间,,
成都市,金牛区,中国五冶集团有限公司医院,成都市金牛区一环路北三段53号,028-83319120,49:16.0,,
成都市,金牛区,成大附院,金牛区二环路北二段82号,028-86437587,49:16.0,,
成都市,金牛区,中铁二局集团中心医院,成都市金牛区沙湾东一路85号,028-86449700,49:16.0,,
成都市,金牛区,成都西区医院,金牛区二环路西三段2号,028-87565092,49:16.0,,
成都市,金牛区,金牛区人民医院,成都市金牛区花照壁中横街389号,028-62601633,49:16.0,,
成都市,金牛区,金牛区中医医院,成都市金牛区天回上街128号,028-87656351,49:16.0,,
成都市,金牛区,金牛区妇幼保健院,成都市金牛区长月路12号,028-68935861,49:16.0,,
成都市,金牛区,四川省建筑医院,解放路2段2号,028-83341683,49:16.0,,
成都市,金牛区,成都骨伤医院,一环路西三段90号,028-87733864,49:16.0,,
成都市,武侯区,四川大学华西医院,成都市武侯区国学巷37号,028-85423712,49:16.0,,
成都市,武侯区,四川大学华西第四医院,成都市人民南路三段18号,028-85503236,49:16.0,,
成都市,武侯区,四川省肿瘤医院,成都市人民南路四段55号,18380456310,49:16.0,,
成都市,武侯区,四川省中西医结合医院,成都市人民南路四段51号,028-63160059,49:16.0,,
成都市,武侯区,四川省妇幼保健院,武侯区沙堰西二街290号/抚琴西路338号,028-65978123,49:16.0,,
成都市,武侯区,成都市第七人民医院,成都市十二中街1号：致民路51号,028-85044702,49:16.0,,
成都市,武侯区,三六三医院,成都市武侯区倒桑树街108号,028-61810120,49:16.0,,
成都市,武侯区,西藏自治区人民政府驻成都办事处医院,成都市洗面桥横街20号,028-85530227,49:16.0,,
成都市,武侯区,四川现代医院,成都市武侯区武兴一路118号,13228160808,49:16.0,,
成都市,武侯区,成都双楠医院,成都市武侯区红牌楼路399号,028-66339120,13628035676,49:16.0,
成都市,武侯区,成都平安医院,成都市武侯区燃灯寺5号,028-85050120,49:16.0,,
成都市,武侯区,武侯区人民医院,成都市武侯区广福桥街8号,028-81735527 028-81735560,49:16.0,,
成都市,武侯区,武侯区第三人民医院,成都市武侯区簇桥龙井中路109号,028-85019120,49:16.0,,
成都市,武侯区,武侯区第五人民医院,成都市武侯区金花横街2号,028-85371340-8028,49:16.0,,
成都市,武侯区,成都天使儿童医院,成都市武侯区人民南路四段46号附1号,028-67899999-8110 028-85056688,49:16.0,,
成都市,武侯区,成都康福肾脏病医院,成都市二环路西一段15号,028-68186605 028-68596512,49:16.0,,
成都市,武侯区,四川奥斯迪康骨医院,成都市二环路西一段清水河大桥南侧,028-87039120,49:16.0,,
成都市,武侯区,四川赫尔森康复医院,成都市武侯区晋阳路145号,18200283566,49:16.0,,
成都市,武侯区,成都西南儿童医院,成都市武侯区红牌楼北街13号,028-85026120,18117844120,49:16.0,
成都市,武侯区,成都武侯西南医院,成都市武侯区九康五路168号,028-85083666,49:16.0,,
成都市,武侯区,中国人民解放军5701厂医院,成都武侯区簇桥华锦路100号,028-85202204,49:16.0,,
成都市,成华区,成都市第六人民医院,成都市成华区建设南街16号,028-68769546,49:16.0,,
成都市,成华区,成都市第十一人民医院,成都市成华区青龙场致强路247号,028-83381809,49:16.0,,
成都市,成华区,核工业四一六医院,成都市二环路北四段4号,028-82991671 028-82991796,49:16.0,,
成都市,成华区,攀钢集团成都医院,成都市成华区双华南路12号,028-84407754,49:16.0,,
成都市,成华区,成华区第三人民医院,成都市成华区青龙场致强环街277号,028-83514713-8025,49:16.0,,
成都市,成华区,成华区第六人民医院,成都市成华区槐柳四路11号,028-69925545,49:16.0,,
成都市,成华区,成华区妇幼保健院,成都市成华大道新鸿路2、6、8号,18190894709,49:16.0,,
成都市,成华区,成都誉美医院,成都市成华区下涧槽路11号,028-84121120,49:16.0,,
成都市,成华区,成都五块石医院,成都市站北路1号,028-83129569,49:16.0,,
成都市,成华区,成都新华医院,成都市双桥路180号,60191666转60199,49:16.0,,
成都市,龙泉驿区,龙泉驿区第一人民医院,龙泉驿区龙泉驿河3组201号,028-68238201,49:16.0,,
成都市,龙泉驿区,龙泉驿区第二人民医院,龙泉驿区洛带镇上街105号,18181938228,49:16.0,,
成都市,龙泉驿区,龙泉驿区妇幼保健院,龙泉驿区龙泉玉扬路383号,028-69330752,19136147532,49:16.0,
成都市,龙泉驿区,龙泉驿区中医医院,龙泉驿区建设路68号,028-68284911,49:16.0,,
成都市,龙泉驿区,成都航天医院,龙泉驿区龙泉鲸龙路121号,028-84800805,49:16.0,,
成都市,龙泉驿区,成都长江医院,龙泉驿区十陵江华路8号,028-84604546-8120,49:16.0,,
成都市,龙泉驿区,四川护理职业学院附属医院,龙泉驿区沿山路二段88号,17713564006,49:16.0,,
成都市,龙泉驿区,四川省人民医院（东院）,龙泉驿区大面街办洪河北路585号,19182080491,19182080492,49:16.0,
成都市,青白江区,青白江区人民医院,成都市青白江区凤凰东四路15号,028-83623966,49:16.0,,
成都市,青白江区,青白江区妇保院,成都市青白江区青江南路87号,028-83308615,49:16.0,,
成都市,青白江区,青白江区中医院,成都市青白江区化工北路41号,028-83632835,49:16.0,,
成都市,青白江区,本草堂康复医院,成都市青白江区城厢镇古城路28号,18010697113,49:16.0,,
成都市,青白江区,攀成钢青白江医院,成都市青白江区红阳教育街51号,18208190971,49:16.0,,
成都市,青白江区,日鑫老年病医院,成都市青白江区祥福镇日新东街104号,028-83671919,49:16.0,,
成都市,新都区,成都市新都区人民医院,四川省成都市新都区育英路南段199号,028-83993083,49:16.0,,
成都市,新都区,成都北新医院,成都市新都区斑竹园镇柏水路638号,028-83028351,49:16.0,,
成都市,新都区,成都市新都区妇幼保健院,新都区新都镇新都大道309号,028-83045359,49:16.0,,
成都市,新都区,成都市新都区第二人民医院,新都区新繁镇繁江北路72号,028-67357869,49:16.0,,
成都市,新都区,成都新都西桥医院,新都区石板滩镇万源大道87号,028-84899350,49:16.0,,
成都市,新都区,成都市新都区中医医院,成都市新都区香樟路120号,028-83972217,49:16.0,,
成都市,新都区,成都市新都区第三人民医院,大丰街道崇义桥街468号,028-62343558,49:16.0,,
成都市,新都区,成都红星老年病医院,成都市新都区北新路135号,13541158027,49:16.0,,
成都市,新都区,成都医学院第一附属医院,成都市新都区宝光大道278号,028-83016680 028-83010950,49:16.0,,
成都市,新都区,四川省革命伤残军人医院,四川省成都市新都区新繁镇荣军路 86号,028-83071154,49:16.0,,
成都市,温江区,四川省八一康复中心,温江区永宁镇八一路81号,028-82668181-818120,49:16.0,,
成都市,温江区,成都市第五人民医院,成都市温江区麻市街33号,028-61712259,49:17.0,,
成都市,温江区,成都市温江区人民医院,温江区万春东路10号、61号,028-82718690,49:17.0,,
成都市,温江区,成都市温江区中医医院,成都市温江区东大街156号,028-82725120,49:17.0,,
成都市,温江区,成都市温江区妇幼保健院（成都市温江区妇幼保健计划生育服务中心）,成都市温江区万春路140号,13348820337,49:17.0,,
成都市,温江区,成都市温江区第三人民医院,成都市温江区万春镇万春大道60号,028-82610745,49:17.0,,
成都市,双流区,双流区第一人民医院,成都市双流区东升街道西北街149号,028-85774925，028-85773916,49:17.0,,
成都市,双流区,双流区中医医院,成都市双流区东升街道花园路二段 300号,028-69803227 028-69803290,49:17.0,,
成都市,双流区,双流区妇幼保健院,成都市双流区东升街道间槽中街396号,028-85813764,49:17.0,,
成都市,双流区,双流区第二人民医院,成都市双流区永安镇四兴街88号,028-85681048,49:17.0,,
成都市,双流区,四川省司法警官总医院,成都市双流区外南机场路近都段16号,028-68485249,49:17.0,,
成都市,郫都区,郫都区人民医院,成都市郫都区德源北路二段666号,028-87883582转8396或8496,49:17.0,,
成都市,郫都区,郫都区第二人民医院,成都市郫都区唐昌镇二环路东南段 86号,13666250339,49:17.0,,
成都市,郫都区,郫都区中医医院,成都市郫都区郫筒街道南大街342号,028-87922313,49:17.0,,
成都市,郫都区,成都市郫都区妇幼保健计划生育服务中心（成都市郫都区妇幼保健院）,成都市郫都区郫筒街道新南街283号、158号,15208122560,49:17.0,,
成都市,郫都区,郫都区骨科医院,成都市郫都区安德镇永兴东路10号,028-87878106-8211,49:17.0,,
成都市,郫都区,西南兵工成都医院,成都市郫都区郫筒街道何公路151号,028-87927120,49:17.0,,
成都市,郫都区,四川省交通厅公路局医院,成都市郫都区犀浦镇恒山北街139号、犀团路500号,028-69360120,49:17.0,,
成都市,简阳市,简阳市人民医院,简城街办医院路180号,13882974829,49:17.0,,
成都市,简阳市,简阳市中医医院,河东新区雄州大道南段421号,13882989807,49:17.0,,
成都市,简阳市,贾家中心卫生院,贾家镇中心路139号,13982928717,49:17.0,,
成都市,简阳市,禾丰中心卫生院,禾丰街办裕民街338号,13568534118,49:17.0,,
成都市,简阳市,简阳市妇幼保健计划生育服务中心,河东新区雄州大道南段868号,18190356595,49:17.0,,
成都市,简阳市,简阳空分医院,简城街办建设中路239号,13700943641,49:17.0,,
成都市,简阳市,简阳玛莉亚妇产医院,简城街办建设中路152号,13629018905,49:17.0,,
成都市,都江堰市,都江堰市人民医院,都江堰市宝莲路622号,028-61722534,49:17.0,,
成都市,都江堰市,都江堰市中医院,都江堰市金江社区中医院北路,028-87133597,49:17.0,,
成都市,都江堰市,都江堰市妇保院,都江堰市壹街区银桂街2号,18982028170 028-87132126,49:17.0,,
成都市,都江堰市,都江堰市第二人民医院,都江堰市发展路89号,15928786584,49:17.0,,
成都市,都江堰市,都江堰市第三人民医院,都江堰市学府路二段725号,18980554808,49:17.0,,
成都市,都江堰市,都江堰市骨伤专科医院,都江堰市中兴镇中环路南段2号,028-87210919,49:17.0,,
成都市,都江堰市,阿坝州林业中心医院,都江堰市太平街445号,028-69395858,49:17.0,,
成都市,都江堰市,四川省地矿局405医院,四川省成都市都江堰市奎光路观江街 36号,028-87276120 028-68615624,49:17.0,,
成都市,都江堰市,都江堰鹏程疼痛医院,都江堰市幸福镇迎宾路430号,028-82333888,49:17.0,,
成都市,都江堰市,都江堰宏惠医院,都江堰市康复路74号,028-87273166,49:17.0,,
成都市,彭州市,彭州市人民医院,成都市彭州市金彭西路178号、南三环路二段255号,028-86230900,49:17.0,,
成都市,彭州市,彭州市中医医院,成都市彭州市南大街396号,18980561859,49:17.0,,
成都市,彭州市,彭州市妇幼保健计划生育服务中心,成都市彭州市致和镇南三环二段257号,028-86239666-8032,49:17.0,,
成都市,彭州市,彭州市第二人民医院,成都市彭州市濛阳镇柏桥社区濛三北路 696号,028-83829087,49:17.0,,
成都市,彭州市,彭州市第四人民医院,成都市彭州市九尺街道玉源村天鹅街 355号,19136144493,49:17.0,,
成都市,彭州市,彭州市中西医结合医院,成都市彭州市天彭镇西大街468号,028-83463896,49:17.0,,
成都市,彭州市,彭州市传染病医院,成都市彭州市天彭镇金彭东路995号,13980503525,49:17.0,,
成都市,彭州市,彭州同一医院,成都市彭州市天彭镇天府东路153号,028-83755333,49:17.0,,
成都市,邛崃市,邛崃市医疗中心医院,成都市邛崃市临邛镇杏林路172号,028-88775123,49:17.0,,
成都市,邛崃市,邛崃市中医医院,成都市邛崃市文君街道西街59号,028-88791835,49:17.0,,
成都市,邛崃市,邛崃市妇幼保健计划生育服务中心,成都市邛崃市临邛镇崇德路307号,028-88799132,49:17.0,,
成都市,邛崃市,邛崃任氏骨科医院,成都市邛崃市临邛街道书院街113号,028－88778855,49:17.0,,
成都市,邛崃市,邛崃东华医院,成都市邛崃市临邛镇文昌街70号,028-88744123,49:17.0,,
成都市,崇州市,崇州市人民医院,崇州市崇阳街道永康东路318号,028-82270365,49:17.0,,
成都市,崇州市,崇州市中医医院,崇州市崇阳街道上南街194号,028-82168035 028-82218891,49:17.0,,
成都市,崇州市,崇州市妇幼保健院,崇州市崇阳街道江源南路100号,028-61042337,49:17.0,,
成都市,崇州市,崇州二医院,崇州市崇阳镇唐安西路432号,028-82276434,49:17.0,,
成都市,崇州市,四川省复原退伍军人医院,崇州市崇阳街道红桥街320号,028-82264503,49:17.0,,
成都市,金堂县,金堂县第一人民医院,成都市金堂县赵镇金广路886号,13547990620,49:17.0,,
成都市,金堂县,金堂县第二人民医院,成都市金堂县淮口镇淮白路275号,028-84917066,49:17.0,,
成都市,金堂县,金堂县第三人民医院,成都市金堂县竹篙镇上正街788号,028-84968222,49:17.0,,
成都市,金堂县,金堂县中医医院,成都市金堂县鸣凤路99号,028-84926120,49:17.0,,
成都市,金堂县,金堂县妇幼保健院,成都市金堂县赵镇金泉路6号,13551051018,49:17.0,,
成都市,金堂县,金堂黄氏中西医骨科医院,成都市金堂县赵镇金广路271号,13550320471,49:17.0,,
成都市,金堂县,金堂仁友骨科医院,成都市金堂县赵镇十里大道二段809号,13438881002,49:17.0,,
成都市,金堂县,金堂纺织妇产医院,成都市金堂县淮口镇淮帆社区,13980528655,49:17.0,,
成都市,金堂县,金堂仁爱医院,成都市金堂县赵镇十里大道二段57号,13668253836,49:17.0,,
成都市,金堂县,四川省监狱管理局中心医院,成都市金堂县清江镇火盆山路2号,13882108910,49:17.0,,
成都市,金堂县,金堂正康老年病医院,成都市金堂县赵镇云绣社区3组,028-84950373,49:17.0,,
成都市,金堂县,金堂县精神病医院,成都市金堂县淮口镇洲城大道270号,15928138346,49:17.0,,
成都市,金堂县,金堂家兴结石病医院,成都市金堂县赵镇韩滩路43号,15208310870,49:17.0,,
成都市,新津县,新津县人民医院,新津县五津西路149号,028-82553034,49:17.0,,
成都市,新津县,志辉医院,新津县五津镇瑞通路121号,028-82510120,49:17.0,,
成都市,新津县,新津县中医医院,新津县五津镇迎宾大道6号,028-82556987,49:17.0,,
成都市,新津县,新津县第二人民医院,新津县花源镇长乐北街73号,028-82410035,49:17.0,,
成都市,新津县,新津县妇幼保健计划生育服务中心,新津县五津东路201号,028-82517361,49:17.0,,
成都市,大邑县,大邑县人民医院,成都市大邑县晋原镇北街323号,028-88381209,49:17.0,,
成都市,大邑县,大邑县第二人民医院,成都市大邑县安仁镇吉祥街2号,028-88315707,49:17.0,,
成都市,大邑县,大邑县妇幼保健计划生育服务中心,成都市大邑县晋原镇内蒙古大道539号,028-88283902,49:17.0,,
成都市,大邑县,大邑望县中医医院,成都市大邑县晋原镇城西街19号,028-88222298,49:17.0,,
成都市,大邑县,大邑志昌骨科医院,成都市大邑县晋原镇富民路南段40号,028-88281958,49:17.0,,
成都市,大邑县,大邑希尔医院,成都市大邑县晋原镇滨河路东段3号,028-88279120,49:17.0,,
成都市,大邑县,大邑宁康医院,成都市大邑县晋原镇孟湾东道316号,18980490458,49:17.0,,
成都市,蒲江县,蒲江县人民医院,蒲江县鹤山街道河西路18号,028-88530369,49:17.0,,
成都市,蒲江县,蒲江县中医医院,蒲江县鹤山街道飞虎路159号,028-88522721,49:17.0,,
成都市,蒲江县,蒲江县妇幼保健计划生育服务中心,蒲江县鹤山街道广定路165号,028-88522350,49:17.0,,
自贡市,自流井区,自贡市第一人民医院,自贡市自流井区尚义灏一支路42号,0813-2121111 0813-2121084,49:17.0,,
自贡市,自流井区,自贡市第四人民医院,自贡市自流井区檀木林大街19号,0813-2203714,49:17.0,,
自贡市,自流井区,自流井区中医院,自贡市自流井区光大街50号,0813-8618120,49:17.0,,
自贡市,自流井区,自流井区东街社区卫生服务中心（自流井区第二人民医院）,自贡市自流井区鸿鹤路43号,0813-2709120,49:17.0,,
自贡市,自流井区,自流井区第三人民医院,自贡市自流井区东光路22号,0813-2607059,49:17.0,,
自贡市,自流井区,自贡市自流井区妇幼保健院,自贡市自流井区新街芦厂坝165号,0813-5519788,49:17.0,,
自贡市,自流井区,自流井区五星街社区卫生服务中心,自贡市自流井区五星街石滩坝社区华苑小区 4栋,0813-2105801,49:17.0,,
自贡市,自流井区,自流井区仲权镇中心卫生院,自贡市自流井区仲权镇新兴街127号,0813-3400120 0813-3402059,49:17.0,,
自贡市,自流井区,自流井区舒坪镇中心卫生院,自贡市自流井区舒坪镇蜀盐街72号,0813-3603500,49:17.0,,
自贡市,自流井区,自流井区荣边镇镇卫生院,自贡市自流井区荣边镇团结街41号,0813-3160091,49:17.0,,
自贡市,自流井区,自贡红新医院,自贡市自流井区东兴寺街道交通路 6组2号,0813-5863993,49:17.0,,
自贡市,自流井区,自贡中城医院,自贡市自流井区解放路113号,0813-5399999,49:17.0,,
自贡市,自流井区,钟云山社区医院,自贡市自流井区钟云山A区服务楼,0813-2303302,49:17.0,,
自贡市,自流井区,内江铁路医院自贡分院,自贡市火车站424号,18681381107,49:17.0,,
自贡市,自流井区,自贡云山骨科,自贡市自流井区龙井街钟云山居委会1组B区原邮电综合楼,0813-8622126,49:17.0,,
自贡市,自流井区,自贡东方医院,自贡市自流井区五星街黄桷坪路123号,0813-4734915,49:17.0,,
自贡市,贡井区,自贡市第三人民医院,贡井区筱溪街胜利巷156号,0813－3301376,49:17.0,,
自贡市,贡井区,自贡市精神卫生中心,贡井区青杠林138号,0813-8582615,49:17.0,,
自贡市,贡井区,贡井区中医医院,自贡市贡井区广场路29号,13402318598,49:17.0,,
自贡市,贡井区,贡井区妇幼保健院,自贡市贡井区花园路99号,15700664338,49:17.0,,
自贡市,贡井区,长土镇卫生院,自贡市贡井区长土镇长土街社区5组,13890002389,49:17.0,,
自贡市,贡井区,艾叶镇卫生院,自贡市贡井区艾叶镇李家桥2组123号,13890037011,49:17.0,,
自贡市,贡井区,建设镇卫生院,自贡市贡井区建设镇172号,13990024227,49:17.0,,
自贡市,贡井区,成佳中心卫生院,贡井区成佳镇劳动街35号,13684307515,49:17.0,,
自贡市,贡井区,五宝中心卫生院,贡井区五宝镇北街,18982789283,49:17.0,,
自贡市,贡井区,龙潭中心卫生院,龙潭镇正街145号,1399000652,49:17.0,,
自贡市,贡井区,桥头镇卫生院,桥头镇白房村4组,18909003194,49:17.0,,
自贡市,贡井区,白庙镇卫生院,白庙镇和平街59号,15892244408,49:17.0,,
自贡市,贡井区,莲花镇卫生院,莲花镇明清街88号,18990040293,49:17.0,,
自贡市,贡井区,章佳乡卫生院,章佳乡凤凰街36号,13890054360,49:17.0,,
自贡市,贡井区,牛尾乡卫生院,牛尾乡相会街242号,13890026982,49:17.0,,
自贡市,贡井区,筱溪街社区卫生服务中心,四川省自贡市贡井区青杠林广场,18008145690,49:17.0,,
自贡市,贡井区,自贡市长生医院,自贡市贡井区东风路6号,13309008661,49:17.0,,
自贡市,贡井区,自贡中意友好医院,自贡市贡井区筱溪街马槽塘居委会 4组,18608139161,49:17.0,,
自贡市,贡井区,自贡家馨医院,长土镇济公社区建华塞纳河畔1栋106-1号,13320804282,49:17.0,,
自贡市,贡井区,自贡雷公滩医院,贡井区雷公滩,13990021514,49:17.0,,
自贡市,贡井区,自贡市第六人民医院,贡井区夏洞寺,13980237384,49:17.0,,
自贡市,大安区,自贡市中医医院,大安区马冲口街59号,0813-5110271,49:17.0,,
自贡市,大安区,自贡市妇幼保健院,自贡市大安区大楻桶路49号,0813-2203739,49:17.0,,
自贡市,大安区,大安区人民医院,大安街周家冲路51号,18008135901,49:17.0,,
自贡市,大安区,大安区妇幼保健院,大安区大安街大冲头1组18号,0813-5100322,49:17.0,,
自贡市,大安区,大安区老年病医院,大安区大安街扇子坝81号,0813-5863397,49:17.0,,
自贡市,大安区,马冲口764医院,大安区马冲口街人民路111号,0813-5103120,49:17.0,,
自贡市,大安区,和平医院,大安区马冲口街人民路341号,0813-5111835,49:17.0,,
自贡市,大安区,名扬医院,大安区牛佛镇张寺村1组,0813-5300120,49:17.0,,
自贡市,大安区,何市中心卫生院,大安区何市镇何家场居委会2组,0813-3228517,49:17.0,,
自贡市,大安区,牛佛中心卫生院,自贡市大安区牛佛镇张家坝社区育才街 37号,0813-7300011 0813-7302063,49:17.0,,
自贡市,大安区,新店镇卫生院,大安区新店镇街道34号,0813-5780389,49:17.0,,
自贡市,大安区,和平镇卫生院,和平街道金桂路111号,0813-8215722,49:17.0,,
自贡市,大安区,团结镇卫生院,大安区团结镇朝天村3组,0813-5208685,49:17.0,,
自贡市,大安区,三多寨镇卫生院,大安区三多寨镇鸳鸯街38号,0813-5900285,49:17.0,,
自贡市,大安区,回龙镇卫生院,大安区回龙镇街村恒丰路3号,0813-7360703,49:17.0,,
自贡市,大安区,凤凰镇卫生院,凤凰镇凤凰村5组,0813-2610093,49:17.0,,
自贡市,大安区,庙坝镇卫生院,庙坝镇街村49号,0813-7370054,49:17.0,,
自贡市,大安区,新民镇卫生院院,四川省大安区新民镇董家村6组,0813-5206717,49:17.0,,
自贡市,大安区,永嘉乡卫生院,永嘉乡点灯坳341号,0813-5760036,49:17.0,,
自贡市,大安区,大山铺镇卫生院,大山铺镇爱和路57号,0813-5800227,49:17.0,,
自贡市,大安区,上田坝卫生服务站,大安区采石路244号,0813-5843321,49:17.0,,
自贡市,沿滩区,自贡市光大医院,永安镇云龙村监管中心,0813-3701935,49:17.0,,
自贡市,沿滩区,自贡市沿滩区邓关镇中心卫生院,邓关街道新塘村8组亿城花园,13684323418,49:17.0,,
自贡市,沿滩区,自贡市沿滩区沿滩镇卫生院,沿滩区沿滩镇升坪街97号,18990085810,49:17.0,,
自贡市,沿滩区,自贡市沿滩区瓦市镇中心卫生院,瓦市镇解放路街211号,13990099383,49:17.0,,
自贡市,沿滩区,自贡市沿滩区黄市镇卫生院,黄市镇自由路77号,18188499114,49:17.0,,
自贡市,沿滩区,自贡市沿滩区永安镇中心卫生院,沿滩区永安镇永福路104号,13990030263,49:17.0,,
自贡市,沿滩区,自贡高新医院,自贡市沿滩区时代大道1号附56号,13990071595,49:17.0,,
自贡市,沿滩区,自贡市沿滩区仙市镇卫生院,自贡市沿滩区仙市镇箭口村5组,13990020682,49:17.0,,
自贡市,沿滩区,自贡市沿滩区刘山乡卫生院,沿滩区永安镇刘山市街37号,15281346353,49:17.0,,
自贡市,沿滩区,自贡市沿滩区富全镇卫生院,自贡市沿滩区富全镇市街69号,18190239764,49:17.0,,
自贡市,沿滩区,自贡市沿滩区王井镇卫生院,自贡市沿滩区王井镇新兴街166号,13778577216,49:17.0,,
自贡市,沿滩区,自贡市沿滩区九洪乡卫生院,自贡市沿滩区九洪乡九洪下街,13619020547,49:17.0,,
自贡市,沿滩区,自贡市沿滩区联络镇中心卫生院,自贡市沿滩区联络镇东升路30号,18008152834,49:17.0,,
自贡市,沿滩区,自贡市沿滩区人民医院,沿滩区沿滩镇和平路85号,15881303291,49:17.0,,
自贡市,沿滩区,自贡市沿滩区妇幼保健院,沿滩区沿滩镇广场路,13890000640,49:17.0,,
自贡市,沿滩区,自贡市沿滩区升坪街社区卫生服务中心,自贡市沿滩区沿滩镇升坪街水巷子 7号,13990002096,49:17.0,,
自贡市,沿滩区,自贡市沿滩区兴隆镇卫生院,沿滩区兴隆镇市街164号,13629025301,49:17.0,,
自贡市,荣县,荣县人民医院,荣县旭阳镇荣州大道二道305号，荣县旭阳镇北街207号,0813-6289816，0813- 6281457,49:17.0,,
自贡市,荣县,荣县中医医院,荣县旭阳镇健康路216号,0813-6281606,49:17.0,,
自贡市,荣县,荣县精神病医院,荣县旭阳镇二佛路446-8号,0813-6100845,49:17.0,,
自贡市,荣县,荣县妇幼保健院,荣县新城望景街318号,0813-6109853,49:17.0,,
自贡市,荣县,荣县新城医院,荣县旭阳镇望景路199号,0813-6110231,49:17.0,,
自贡市,荣县,荣县华康医院,荣县旭阳镇荣州大道三段483号,13890034776,49:17.0,,
自贡市,荣县,自贡荣州骨科医院,自贡荣县旭阳镇蓝帝大道166号,0813-6206120,49:17.0,,
自贡市,荣县,荣县富东医院,荣县旭阳镇对景路33-72号,0813-6161120,49:17.0,,
自贡市,荣县,荣县佛都医院,荣县旭阳镇南帝大道220-238号,13547384795,49:17.0,,
自贡市,荣县,荣县广济医院,双石镇长冲村联建工程房,0813-6990120,49:17.0,,
自贡市,荣县,荣县河西中西医结合医院,荣县旭阳镇附西路571-595号,0813-6688099,49:17.0,,
自贡市,荣县,荣县广顺医院,荣县长山镇迎宾街西段171号,18381356349,49:17.0,,
自贡市,荣县,荣县李晏医院,荣县乐德镇李晏街道5号,0813-6540081,49:17.0,,
自贡市,荣县,荣县旭阳中心卫生院,荣州路10-16-（38-44）号,0813-6105120,49:17.0,,
