市（州）,定点级别,县（市、区）,机构名称,地址,联系电话,更新时间
宜宾市,市级,宜宾市,宜宾市第二人民医院,宜宾市翠屏区北大街96号、宜宾市翠屏区白沙湾焚龙街115号,0831-8252118,37:53.0
宜宾市,县级,翠屏区,宜宾市第三人民医院 （翠屏区人民医院）,宜宾市翠屏区将军街58号、12 号；翠屏区李庄镇园区管委会纵一路,0831-8224806,37:53.0
宜宾市,县级,兴文县,兴文县人民医院,兴文县古宋镇中山街211号,13558958201,37:53.0
宜宾市,县级,高县,高县人民医院,高县庆符镇硕勋中路223号,0831-5362897,37:53.0
宜宾市,县级,叙州区,叙州区人民医院,宜宾市叙州区柏溪街道育才路2号,0831-6209302,37:53.0
宜宾市,县级,珙县,宜宾市矿山急救医院,珙县巡场镇巡检街2号,0831-4051999,37:53.0
宜宾市,县级,筠连县,筠连县人民医院,筠连县筠连镇煤都大道文峰路,0831-7682378,37:53.0
宜宾市,县级,长宁县,长宁县人民医院,长宁县长宁镇竹海路三段65号,19198600225,37:53.0
宜宾市,县级,屏山县,屏山县人民医院,屏山县屏山镇金沙江大道1号,18990965120,37:53.0
宜宾市,县级,江安县,江安县人民医院,四川省江安县江安镇平安路52号,0831-2622871,37:53.0
宜宾市,县级,南溪区,宜宾市第五人民医院 （南溪区人民医院〉,宜宾市南溪区南溪街道交通街113 号,0831-3185121,37:53.0
广安市,市级,广安市,广安市人民医院,广安区滨河路四段1号,0826-2222448,37:53.0
广安市,县级,华蓥市,华蓥市人民医院,华蓥市双河街道望月街27号,0826-4837220,37:53.0
广安市,县级,岳池县,岳池县人民医院,岳池县九龙镇建设路东段22号,0826-5235818,37:53.0
广安市,县级,广安市前锋区,前锋区人民医院,前锋区永前大道中段317号,0826-6971231,37:53.0
广安市,县级,邻水县,邻水县人民医院,邻水县鼎屏镇人民路北段487号,0826-3228232,37:54.0
广安市,县级,武胜县,武胜县人民医院,武胜县建设北路513号,0826-6211626,37:54.0
广安市,县级,广安区,广安区人民医院,广安区民康街1号,0826-2224368,37:54.0
达州市,市级,达州市,达州市中心医院,达州市通川区南岳庙街56号,0818-2371653,37:54.0
达州市,县级,达川区,达川区人民医院,达川区三里坪街道汉兴北街700号,0818-3322952,37:54.0
达州市,县级,通川区,通川区人民医院,通川区西外新锦社区白塔路411号,0818-2526614,37:54.0
达州市,县级,万源市,万源市中心医院,万源市太平镇东关路58号,0818-8618111,37:54.0
达州市,县级,大竹县,大竹县人民医院,大竹县白塔街道办事处青年路99,0818-6221243,37:54.0
达州市,县级,开江县,开江县人民医院,开江县新宁镇龙池街72号,0818-8222173,37:54.0
达州市,县级,宣汉县,宣汉县人民医院,宣汉县东乡镇解放中路753号,0818-5222034,37:54.0
达州市,县级,渠县,渠县人民医院,渠县渠江镇营渠路319号,0818-7322690,37:54.0
巴中市,市级,巴中市,巴中市中心医院,巴中市南池河街1号/巴州区南坝 小区南坝主干道东侧七支道/传染 病科在巴中市南坝小区,0827-5201336,37:54.0
巴中市,县级,巴州区,巴州区人民医院,巴中市巴州区郑家街2号/巴中市 江北大街241号/巴中市巴州区巴 州大道546号,13981664112,37:54.0
巴中市,县级,恩阳区,恩阳区人民医院,巴中市恩阳区恩阳镇千佛路28号/ 恩阳区义阳大道82号,0827-3362218,37:54.0
巴中市,县级,通江县,通江县人民医院,通江县诺江镇西华路55号,0827-7221144,37:54.0
巴中市,县级,南江县,南江县人民医院,南江县南江镇光雾山大道红星段 101号,0827-8222758,37:54.0
巴中市,县级,平昌县,平昌县人民医院,平昌县同洲街道办事处新平街145号,18981687889,37:54.0
雅安市,市级,雅安市,雅安市人民医院第三院区,雅安市雨城区雅州大道509号,0835-2222222,37:54.0
雅安市,县级,雨城区,雨城区人民医院,雨城区南三路48号,13981614466,37:54.0
雅安市,县级,名山区,名山区人民医院,名山区蒙阳镇西大街180号,0835-3226509,37:54.0
雅安市,县级,荥经县,荥经县人民医院,荥兴路西一段223号,15008305122,37:54.0
雅安市,县级,汉源县,汉源县人民医院,四川省雅安市汉源县富林镇富林 大道二段128号,17321945865,37:54.0
雅安市,县级,石棉县,石棉县人民医院,新棉镇人民路11号,0835-8866120,37:54.0
雅安市,县级,天全县,天全县人民医院,天全县城厢镇承臻路46号,13628156027,37:54.0
雅安市,县级,芦山县,芦山县人民医院,芦山县东风路203号,13378383120,37:54.0
雅安市,县级,宝兴县,宝兴县人民医院,宝兴县穆坪镇海南街2号,0835-6821055,37:54.0
眉山市,市级,眉山市,眉山市人民医院,眉山市东坡区东坡大道南四段288号,18990301455,37:54.0
眉山市,县级,东坡区,眉山市中医医院,眉山市东坡区苏祠路14号,13990380119,37:54.0
眉山市,县级,彭山区,彭山区人民医院,眉山市彭山区彭溪镇蔡山北路西 二段195号,18990393390,37:54.0
眉山市,县级,仁寿县,仁寿县人民医院,仁寿县文林镇龙滩大道6号,18990334563,37:54.0
眉山市,县级,洪雅县,洪雅县人民医院,洪雅县洪川镇文昌路61号,028-37403578,37:54.0
眉山市,县级,丹棱县,丹棱县人民医院,丹棱县齐乐镇正街259号,19183302182,37:54.0
眉山市,县级,青神县,青神县人民医院,青神县文林街30号,028-38813199,37:54.0
资阳市,市级,雁江区,资阳市第一人民医院,四川省资阳市雁江区仁德西路66号,028-26214451,37:54.0
资阳市,县级,安岳县,安岳县人民医院,资阳市安岳县岳阳镇外南街68号,028-24502224,37:54.0
资阳市,县级,乐至县,乐至县人民医院,资阳市乐至县天池镇迎宾大道405号,028-23331579,37:54.0
阿坝州,市级,阿坝州,阿坝州人民医院,马尔康市马尔康镇马江街176号,0837-2822698,37:54.0
阿坝州,县级,马尔康市,马尔康市人民医院,马尔康俄尔雅新区绕城路108号,0837-2822029,37:54.0
阿坝州,县级,若尔盖县,若尔盖县人民医院,若尔盖县达扎寺镇更盘路21号,0837-2298365,37:54.0
阿坝州,县级,红原县,红原县人民医院,红原县邛渓镇瑞庆东路46号,0837-2662056,37:54.0
阿坝州,县级,黑水县,黒水县人民医院,黑水县芦花镇吉林大道3号,0837-6722207,37:54.0
阿坝州,县级,汶川县,汶川县人民医院,汶川县威州镇彗威路,0837-6222485,37:54.0
阿坝州,县级,理县,理县人民医院,理县杂谷脑镇老街,0837-6822186,37:54.0
阿坝州,县级,小金县,小金县人民医院,小金县美兴镇石灰村,0837-2782255,37:54.0
阿坝州,县级,九寨沟县,九塞沟县人民医院,九塞沟县永丰新城区文荟路3号,0837-7726608,37:54.0
阿坝州,县级,茂县,茂县人民医院,茂县凤仪销北大街2S4号,0837-7422139,37:54.0
阿坝州,县级,壤塘县,壤塘县人民医院,壤塘县塘柯镇罗唔糖中街180号,0837-2378241,37:54.0
阿坝州,县级,松潘县,松潘县人民医院,松潘县进安镇城北新区003号,0837-7232497,37:54.0
阿坝州,县级,金川县,金川县人民医院,金川县勒乌镇安顺村四组98号,0837-2523079,37:54.0
阿坝州,县级,阿坝县,阿坝县人民医院,阿坝县洽唐东街8号,0837-2482440,37:54.0
甘孜州,市级,甘孜州,甘孜州人民医院,康定市西大街94号,0836—2823120,37:54.0
甘孜州,县级,康定市,甘孜卫校附属医院,康定市姑咱镇银河路一段117号,0836—2855217,37:54.0
甘孜州,县级,康定市,康定市人民医院,康定市炉城镇榆林新区情歌路381号,0836—2878120,37:54.0
甘孜州,县级,康定市,康定市第二人民医院,康定市姑咱镇银河路一段69号,0836—2857120,37:54.0
甘孜州,县级,泸定县,泸定县人民医院,泸定县泸桥镇成武路151号,0836—3120170,37:54.0
甘孜州,县级,泸定县,海螺沟景区人民医院,泸定县燕子沟镇高庙高庙子村一 组,0836—3266344,37:54.0
甘孜州,县级,丹巴县,丹巴县人民医院,丹巴县童谷镇加绒新区,0836—3523156,37:54.0
甘孜州,县级,九龙县,九龙县人民医院,九龙县呷尔镇绵九街53号,0336—3329613,37:54.0
甘孜州,县级,雅江县,雅江县人民医院,雅江县滨江路3号,0836—5122083,37:54.0
甘孜州,县级,理塘县,理塘县人民医険,理塘县格聂东路99号,0836—5122127,37:54.0
甘孜州,县级,巴塘县,巴塘县人民医院,巴塘县夏琼镇巴安路96号,0836—5622206,37:54.0
甘孜州,县级,乡城县,乡城县人民医院,乡城县香巴拉镇怡仁街58号,0836—5826021,37:54.0
甘孜州,县级,韬城县,稻城县人民医院,稻城县金珠镇亚丁路二段9号,0836—5727430,37:54.0
甘孜州,县级,韬城县,稻城县中藏医院,稲城县香格里拉镇俄初河路26号,15884052214,37:54.0
甘孜州,县级,得荣县,得荣县人民医院,得荣县松麦镇河东下街15号,0836—5922263,37:54.0
甘孜州,县级,道孚县,道孚县人民医院,道孚县鲜水西路278号,18090125839,37:54.0
甘孜州,县级,炉霍县,炉霍县人民医院,炉霍县新都镇建设路74号,0836—7328120,37:54.0
甘孜州,县级,甘孜县,甘孜县人民医院,甘孜县东大街140号,0836—7523220,37:54.0
甘孜州,县级,色达县,色达县人民医院,色达县金马大道38号,18990496910,37:54.0
甘孜州,县级,石渠县,石渠县人民医院,石渠县尼呷镇德吉东街（17号）,13568674768,37:54.0
甘孜州,县级,德格县,德格县人民医院,德格县藏医街4号,0836—8226120,37:54.0
甘孜州,县级,新龙县,新龙县人民医院,新龙县如龙镇魔坊沟村11号,0836—8122788,37:54.0
甘孜州,县级,白玉县,白玉县人民医院,白玉县建设镇康复路,13508292897,37:54.0
凉山州,市级,凉山州,凉山州第一人民医院,西昌市下顺城街6号,0834-3246177,37:54.0
凉山州,县级,西昌市,西昌市人民医院,西昌市顺河路169号,18096307500,37:54.0
凉山州,县级,徳昌县,徳昌县人民医院,徳昌县德州镇东风路76号,13568664894,37:54.0
凉山州,县级,会理县,会理县人民医院,会理县北关街道北关140号,0834-5695528,37:54.0
凉山州,县级,会东县,会东县人民医院,会东县鲹鱼河镇政通路96号,0834-8558193,37:54.0
凉山州,县级,宁南县,宁南县人民医院,宁南县披砂镇順城北街206号,13882466019,37:54.0
凉山州,县级,普格县,普格县人民医院,普格县新建南路17号,15282986531,37:54.0
凉山州,县级,昭觉县,昭觉县人民医院,昭觉县新城镇解放路大平巷3号,18481279666,37:54.0
凉山州,县级,布拖县,布拖县人民医院,布拖县特木里镇平圳路3号,18981599526,37:54.0
凉山州,县级,金阳县,金阳县人民医院,金阳县天地坝镇下南街52号,13795629322,37:54.0
凉山州,县级,美姑县,美姑县人民医院,美姑县海子路3号,13881576673,37:54.0
凉山州,县级,雷波县,雷波县人民医院,雷波县锦城镇南街82号,13881480735,37:54.0
凉山州,县级,甘洛县,甘洛县人民医院,甘洛县团结北街35号,13308153343,37:54.0
凉山州,县级,越西县,越西县第一人民医院,越西县越城镇文化路187号,13980283710,37:54.0
凉山州,县级,喜德县,喜徳县人民医院,喜德县光明镇环城东路170号,13795606930,37:54.0
凉山州,县级,冕宁县,冕宁县人民医院,冕宁县人民路304号,15808285121,37:54.0
凉山州,县级,盐源县,盐源县人民医院,盐源县盐井镇政府街133号,13881490571,37:54.0
凉山州,县级,木里县,木里县人民医院,木里县乔瓦镇新兴路12号,18981508116,37:54.0
